Timestamp,Way of Making,Amount eaten in a week
23/03/2023 11:55:08,Cereal first,0
23/03/2023 11:58:52,Cereal first,3
23/03/2023 12:02:23,Cereal first,1
23/03/2023 12:12:44,Cereal first,1
23/03/2023 13:57:43,Cereal first,7
23/03/2023 17:06:30,Cereal first,5
23/03/2023 17:06:32,Cereal first,7
23/03/2023 17:12:20,Cereal first,2
23/03/2023 18:17:45,Cereal first,4
23/03/2023 19:56:28,Cereal first,5
24/03/2023 16:06:51,Milk first,1
24/03/2023 16:45:37,Cereal first,4
25/03/2023 16:48:39,Milk first,2
26/03/2023 19:53:05,Cereal first,2
26/03/2023 19:53:08,Cereal first,1
26/03/2023 19:53:38,Milk first,6
26/03/2023 19:54:23,Milk first,30
29/03/2023 21:45:43,Cereal first,5
02/04/2023 19:50:51,Milk first,2
02/04/2023 20:18:17,Cereal first,4
02/04/2023 20:18:23,Milk first,5
02/04/2023 20:18:31,Cereal first,4
02/04/2023 20:18:34,Cereal first,2
02/04/2023 20:18:37,Cereal first,3
02/04/2023 20:18:42,Milk first,2
02/04/2023 20:18:49,Cereal first,1
02/04/2023 20:19:30,Cereal first,5
02/04/2023 20:19:38,Milk first,1
02/04/2023 20:24:13,Cereal first,3
02/04/2023 20:28:20,Cereal first,4
02/04/2023 20:30:05,Cereal first,3
02/04/2023 20:35:35,Cereal first,32
02/04/2023 20:36:28,Cereal first,3
02/04/2023 20:37:47,Cereal first,1
02/04/2023 20:38:50,Cereal first,1
02/04/2023 20:41:26,Milk first,3
02/04/2023 20:48:55,Cereal first,2
02/04/2023 20:52:16,Cereal first,2
02/04/2023 21:07:59,Cereal first,1
02/04/2023 21:39:35,Cereal first,1
02/04/2023 21:47:53,Cereal first,3
02/04/2023 21:55:02,Cereal first,5
02/04/2023 21:55:17,Cereal first,4
02/04/2023 22:31:39,Cereal first,7
02/04/2023 22:34:04,Cereal first,3
03/04/2023 00:12:44,Cereal first,3
03/04/2023 10:02:07,Cereal first,3
03/04/2023 10:02:24,Cereal first,1
03/04/2023 10:52:42,Cereal first,2
